inscription_id,sign_sequence,site,object_type,line_count,damaged,reading_direction,motif,mean_uncertainty
1053.0,MSg67 MSg72 MSg342 MSg139,unknown,unknown,1,False,R-L,unknown,0.0
1054.0,MSg253 MSg230 MSg89 MSg89 MSg267 MSg99 MSg106 MSg169,unknown,unknown,1,False,R-L,unknown,0.0
1055.0,MSg86 MSg397 MSg169,unknown,unknown,1,False,R-L,unknown,0.0
1056.0,MSg249 MSg336 MSg75 MSg245 MSg245,unknown,unknown,1,False,R-L,unknown,0.0
1057.0,MSg267 MSg99 MSg65 MSg342 MSg139,unknown,unknown,1,False,R-L,unknown,20.0
1058.0,MSg400 MSg396 MSg169 MSg99 MSg48 MSg193 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1059.0,MSg284 MSg99 MSg009 MSg0,unknown,unknown,1,False,R-L,unknown,25.0
1060.0,MSg54 MSg28 MSg162 MSg100 MSg65 MSg347 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1061.0,MSg391 MSg98 MSg336 MSg162,unknown,unknown,1,False,R-L,unknown,0.0
1065.0,MSg87 MSg28 MSg257 MSg99 MSg67 MSg70 MSg336 MSg89 MSg211,unknown,unknown,1,False,R-L,unknown,0.0
1066.0,MSg210 MSg86 MSg99 MSg389 MSg60 MSg204 MSg108 MSg358 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1067.0,MSg397 MSg51 MSg267 MSg402 MSg98,unknown,unknown,1,False,R-L,unknown,0.0
1068.0,MSg171 MSg59 MSg336 MSg89 MSg211,unknown,unknown,1,False,R-L,unknown,0.0
1069.0,MSg28 MSg180 MSg402,unknown,unknown,1,False,R-L,unknown,0.0
1070.0,MSg345 MSg28 MSg176,unknown,unknown,1,False,R-L,unknown,0.0
1071.0,MSg261 MSg371 MSg59 MSg97 MSg114 MSg169,unknown,unknown,1,False,R-L,unknown,0.0
1072.0,MSg215 MSg298 MSg9 MSg342 MSg1,unknown,unknown,1,False,R-L,unknown,0.0
1073.0,MSg104 MSg0,unknown,unknown,1,False,R-L,unknown,50.0
1074.0,MSg391 MSg99 MSg289 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1075.0,MSg72 MSg327 MSg254,unknown,unknown,1,False,R-L,unknown,0.0
1076.0,MSg391 MSg99 MSg104 MSg162,unknown,unknown,1,False,R-L,unknown,0.0
1077.0,MSg89 MSg381 MSg307 MSg81 MSg99 MSg067 MSg403 MSg87 MSg342,unknown,unknown,1,False,R-L,unknown,11.11
1078.0,MSg267 MSg99 MSg124 MSg25 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1079.0,MSg391 MSg99 MSg87 MSg59 MSg67 MSg121 MSg14,unknown,unknown,1,False,R-L,unknown,0.0
1080.0,MSg267 MSg99 MSg387 MSg67 MSg406 MSg162,unknown,unknown,1,False,R-L,unknown,0.0
1081.0,MSg087 MSg249 MSg162 MSg343 MSg87 MSg59 MSg127 MSg342,unknown,unknown,1,False,R-L,unknown,12.5
1082.0,MSg267 MSg99 MSg87 MSg59 MSg296 MSg342 MSg087,unknown,unknown,1,False,R-L,unknown,14.29
1083.0,MSg54 MSg54 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
